SMSA70,,STATE,COUNTY,,,,msaLABEL
2000,,39,109,,,,Miami County
2000,,39,113,,,,Montgomery County
2000,,39,135,,,,Preble County
,,,,,,,
2040,,,,,,,"Decatur, IL SMSA"
2040,,17,115,,,,Macon County
,,,,,,,
2080,,,,,,,"Denver, CO SMSA"
2080,,8,1,,,,Adams County
2080,,8,5,,,,Arapahoe County
2080,,8,13,,,,Boulder County
2080,,8,31,,,,Denver County
2080,,8,59,,,,Jefferson County
,,,,,,,
2120,,,,,,,"Des Moines, IA SMSA"
2120,,19,153,,,,Polk County
,,,,,,,
2160,,,,,,,"Detroit, MI SMSA"
2160,,26,99,,,,Macomb County
2160,,26,125,,,,Oakland County
2160,,26,163,,,,Wayne County
,,,,,,,
2200,,,,,,,"Dubuque, IA SMSA"
2200,,19,61,,,,Dubuque County
,,,,,,,
2240,,,,,,,"Duluth-Superior, MN-WI SMSA"
2240,,27,137,,,,"St.Louis County, MN"
2240,,55,31,,,,"Douglas County, WI"
,,,,,,,
2280,,,,,,,"Durham, NC SMSA"
2280,,37,63,,,,Durham County
2280,,37,135,,,,Orange County
,,,,,,,
2320,,,,,,,"El Paso, TX SMSA"
2320,,48,141,,,,El Paso County
,,,,,,,
2360,,,,,,,"Erie, PA SMSA"
2360,,42,49,,,,Erie County
,,,,,,,
2400,,,,,,,"Eugene, OR SMSA"
2400,,41,39,,,,Lane County
,,,,,,,
2440,,,,,,,"Evansville, IN-KY SMSA"
2440,,18,163,,,,"Vanderburgh County, IN"
2440,,18,173,,,,"Warrick County, IN"
2440,,21,101,,,,"Henderson County, KY"
,,,,,,,
2480,,,,,,,"Fall River, MA-RI SMSA"
2480,,25,5,,,,"Bristol County, MA (pt.)"
2480,,25,5,,23000,,Fall River city
2480,,25,5,,62430,,Somerset town
2480,,25,5,,68750,,Swansea town
2480,,25,5,,77570,,Westport town
2480,,44,5,,,,"Newport County, RI (pt.)"
2480,,44,5,,70880,,Tiverton town
,,,,,,,
2520,,,,,,,"Fargo-Moorhead, ND-MN SMSA"
2520,,27,27,,,,"Clay County, MN"
2520,,38,17,,,,"Cass County, ND"
,,,,,,,
2560,,,,,,,"Fayetteville, NC SMSA"
2560,,37,51,,,,Cumberland County
,,,,,,,
2600,,,,,,,"Fitchburg-Leominster, MA SMSA"
2600,,25,17,,,,Middlesex County (pt.)
2600,,25,17,,61590,,Shirley town
2600,,25,17,,70360,,Townsend town
2600,,25,27,,,,Worcester County (pt.)
2600,,25,27,,23875,,Fitchburg city
2600,,25,27,,35075,,Leominster city
2600,,25,27,,37420,,Lunenburg town
2600,,25,27,,77010,,Westminster town
,,,,,,,
2640,,,,,,,"Flint, MI SMSA"
2640,,26,49,,,,Genesee County
2640,,26,87,,,,Lapeer County
,,,,,,,
2680,,,,,,,"Fort Lauderdale-Hollywood, FL SMSA"
2680,,12,11,,,,Broward County
,,,,,,,
2720,,,,,,,"Fort Smith, AR-OK SMSA"
2720,,5,33,,,,"Crawford County, AR"
2720,,5,131,,,,"Sebastian County, AR"
2720,,40,79,,,,"Le Flore County, OK"
2720,,40,135,,,,"Sequoyah County, OK"
,,,,,,,
2760,,,,,,,"Fort Wayne, IN SMSA"
2760,,18,3,,,,Allen County
,,,,,,,
2800,,,,,,,"Fort Worth, TX SMSA"
2800,,48,251,,,,Johnson County
